〖ZQ/总期〗17818〖-ZQ/总期〗
〖RQ/日期〗20061023〖-RQ/日期〗
〖BH/版号〗09〖-BH/版号〗
〖TH/条号〗6〖-TH/条号〗
〖BT/标题〗《口述长征》此前见报篇目〖-BT/标题〗
〖FL/分类〗EL263〖-FL/分类〗
〖LM/栏目〗红军长征胜利70周年特刊〖-LM/栏目〗
〖BM/版名〗长征·路线篇〖-BM/版名〗
〖TC/体裁〗其他体裁〖-TC/体裁〗
〖ZW/正文〗
    1
    序号    文章标题                   口述人     刊发日期
    1     人不能没有信仰                 谢振华     2005.12.29
    2     15岁“女伢子”的长征              刘 坚     2006.1.2
    3     聆听毛主席传达遵义会议精神           闫捷三     2006.1.19
    4     毛主席写信找“坐骑”              戴润生     2006.2.16
    5     长征途中的三次险情               张 文     2006.3.2
    6     为毛主席做八角帽                张文清     2006.3.16
    7     救命的炒面                   颜文斌     2006.3.16
    8     三过雪山草地                  顾永武     2006.3.30
    9     自创战歌鼓士气                 张宜步     2006.3.30
    10    三军会师尽开颜                 向守志      2006.4.6
    11    打落第一架敌机                 叶荫庭      2006.4.6
    12    “陕北有红军”                 曾思玉      2006.4.27
    13    铮铮铁骨                    王儒云      2006.4.27
    14    王新亭上将帮我过险关              任 荣      2006.5.3
    15    毛主席指点我烧炕砖               田启元      2006.5.3
    16    长征路上多磨难                 李盛礼      2006.5.18
    17    归队                      绍 云      2006.5.18
    18    生死关头战友情                 王家树      2006.6.1
    19    掩护17勇士抢渡大渡河              邹新民      2006.6.1
    20    亲历会宁会师                  杜义德      2006.6.15
    21    长征路上，大娘救了我一命            周天浩      2006.6.15
    22    聆听朱德教诲：“朱毛”不可分          孔庆德      2006.6.29
    23    一家人的长征                  李中权      2006.6.29
    24    要桥不要命                   陈绍清      2006.7.6
    25    泪别战马救战友                 张铚秀      2006.7.20
    26    披着袈裟当红军                 天 宝      2006.8.1
    27    长征促成了我俩的美好姻缘            戴福九      2006.8.3
    28    “红小鬼”在走出草地前倒下           伍生荣      2006.8.5
    29    李先念和普通一兵的故事             丁德山      2006.8.15
    30    亲历红军三次会师                康立泽      2006.8.17
    31    掩护中央纵队过湘江               罗元发      2006.8.22
    32    有勇有谋夺胜利                 赵 新      2006.8.29
    33    红军纪律是“铁律”               刘月生      2006.8.31
    34    为周副主席冒死取药               陈诗林      2006.9.5
    35    胜败之间说感悟                 范朝利      2006.9.12
    36    艰苦卓绝长征路                 张 震      2006.9.14
    37    一块骨头帮我走出草地              唐树林      2006.9.19
    38    目睹毛主席用兵直罗镇              郭佳仁      2006.9.26
    39    逃出虎口寻红军                 罗名榜      2006.9.28
    40    有一口气就要跟部队走              欧阳平      2006.10.5
    41    只能咬牙挺住                  张 斌      2006.10.5
    42    在“挎包大学”成长               黄英夫      2006.10.5
    43    女红军运粮跨越剑门               关叶冰      2006.10.10
    44    抓不住牛元峰莫回来               詹大南      2006.10.12
    45    为毛主席当电话员                彭金山      2006.10.12
    46    见到“老乡”朱老总               鲁世贵      2006.10.12
    47    会师那天打胜仗                 张力雄      2006.10.17
〖-ZW/正文〗
